Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Markus Suttner (11831338),Markus Suttner,11831338,D/UTIL,3300,BOU vs BHA 10:00AM ET,BHA,0
M,Mihai-Alexandru Dobre (11831659),Mihai-Alexandru Dobre,11831659,M/UTIL,3300,BOU vs BHA 10:00AM ET,BOU,0
M,Yves Bissouma (11831661),Yves Bissouma,11831661,M/UTIL,3300,BOU vs BHA 10:00AM ET,BHA,2.67
D,Bruno Ecuele Manga (11831342),Bruno Ecuele Manga,11831342,D/UTIL,3300,CAR vs MU 12:30PM ET,CAR,4.21
M,Ethan Hamilton (11831645),Ethan Hamilton,11831645,M/UTIL,3300,CAR vs MU 12:30PM ET,MU,0
M,Aron Gunnarsson (11831667),Aron Gunnarsson,11831667,M/UTIL,3300,CAR vs MU 12:30PM ET,CAR,4.42
D,Andreas Christensen (11831328),Andreas Christensen,11831328,D/UTIL,3300,CHE vs LEI 10:00AM ET,CHE,0.5
M,Adrien Silva (11831649),Adrien Silva,11831649,M/UTIL,3300,CHE vs LEI 10:00AM ET,LEI,2.25
D,Maya Yoshida (11831334),Maya Yoshida,11831334,D/UTIL,3300,HUD vs SOU 10:00AM ET,SOU,3.17
D,Christopher Schindler (11831340),Christopher Schindler,11831340,D/UTIL,3300,HUD vs SOU 10:00AM ET,HUD,3.21
M,Ramadan Sobhi (11831663),Ramadan Sobhi,11831663,M/UTIL,3300,HUD vs SOU 10:00AM ET,HUD,1.19
D,John Stones (11831330),John Stones,11831330,D/UTIL,3300,MCI vs CRY 10:00AM ET,MCI,2.77
M,Jeffrey Schlupp (11831655),Jeffrey Schlupp,11831655,M/UTIL,3300,MCI vs CRY 10:00AM ET,CRY,3.23
D,Jamaal Lascelles (11831332),Jamaal Lascelles,11831332,D/UTIL,3300,NEW vs FUL 10:00AM ET,NEW,2.92
M,Isaac Hayden (11831647),Isaac Hayden,11831647,M/UTIL,3300,NEW vs FUL 10:00AM ET,NEW,0.3
M,Andre-Frank Zambo Anguissa (11831665),Andre-Frank Zambo Anguissa,11831665,M/UTIL,3300,NEW vs FUL 10:00AM ET,FUL,2.41
M,Carlos Sanchez (11831651),Carlos Sanchez,11831651,M/UTIL,3300,WHU vs WAT 10:00AM ET,WHU,1.2
M,Conor Coventry (11831653),Conor Coventry,11831653,M/UTIL,3300,WHU vs WAT 10:00AM ET,WHU,0
M,Ken Sema (11831657),Ken Sema,11831657,M/UTIL,3300,WHU vs WAT 10:00AM ET,WAT,2.57
D,Nathan Ake (11831356),Nathan Ake,11831356,D/UTIL,3200,BOU vs BHA 10:00AM ET,BOU,3.69
M,Kyle Taylor (11831683),Kyle Taylor,11831683,M/UTIL,3200,BOU vs BHA 10:00AM ET,BOU,0
M,Dale Stephens (11831685),Dale Stephens,11831685,M/UTIL,3200,BOU vs BHA 10:00AM ET,BHA,1.46
D,Victor Lindelof (11831344),Victor Lindelof,11831344,D/UTIL,3200,CAR vs MU 12:30PM ET,MU,1.96
D,Sean Morrison (11831358),Sean Morrison,11831358,D/UTIL,3200,CAR vs MU 12:30PM ET,CAR,3.93
M,Angel Gomes (11831669),Angel Gomes,11831669,M/UTIL,3200,CAR vs MU 12:30PM ET,MU,0
M,Harry Arter (11831691),Harry Arter,11831691,M/UTIL,3200,CAR vs MU 12:30PM ET,CAR,3.20
D,Ethan Ampadu (11831346),Ethan Ampadu,11831346,D/UTIL,3200,CHE vs LEI 10:00AM ET,CHE,0
M,Hamza Choudhury (11831673),Hamza Choudhury,11831673,M/UTIL,3200,CHE vs LEI 10:00AM ET,LEI,0
M,Oriol Romeu (11831675),Oriol Romeu,11831675,M/UTIL,3200,HUD vs SOU 10:00AM ET,SOU,0.68
M,Danny Williams (11831687),Danny Williams,11831687,M/UTIL,3200,HUD vs SOU 10:00AM ET,HUD,0
D,Philippe Sandler (11831348),Philippe Sandler,11831348,D/UTIL,3200,MCI vs CRY 10:00AM ET,MCI,0
D,Pape Souare (11831352),Pape Souare,11831352,D/UTIL,3200,MCI vs CRY 10:00AM ET,CRY,1.5
M,Jason Puncheon (11831679),Jason Puncheon,11831679,M/UTIL,3200,MCI vs CRY 10:00AM ET,CRY,-0.12
D,Florian Lejeune (11831350),Florian Lejeune,11831350,D/UTIL,3200,NEW vs FUL 10:00AM ET,NEW,0
M,Callum Roberts (11831671),Callum Roberts,11831671,M/UTIL,3200,NEW vs FUL 10:00AM ET,NEW,0
M,Neeskens Kebano (11831689),Neeskens Kebano,11831689,M/UTIL,3200,NEW vs FUL 10:00AM ET,FUL,0.88
D,Christian Kabasele (11831354),Christian Kabasele,11831354,D/UTIL,3200,WHU vs WAT 10:00AM ET,WAT,2.69
M,Grady Diangana (11831677),Grady Diangana,11831677,M/UTIL,3200,WHU vs WAT 10:00AM ET,WHU,3.94
